Session No.,Content,Course
1,Introduction to Programming & Scratch Interface,Scratch
2,"Motion Blocks (Move, Turn, Go to)",
3,"Looks Blocks (Say, Think, Costumes)",
4,"Events Blocks (When Clicked, Key Press)",
5,Sound Blocks,
6,Variables (Score & Lives),
7,"Operators (+,-,Random,Compare)",
8,If & If Else,
9,Repeat Loop,
10,Forever Loop,
11,Broadcast Messages,
12,Cloning,
13,Lists (Simple),
14,Functions (My Blocks),
15,Final Scratch Project,
16,Introduction to PictoBlox & Stage Mode,Pictoblox
17,Advanced Animation,
18,Text To Speech Extension,
19,Speech Recognition,
20,Face Detection (Camera),
21,Object Detection,
22,AI Image Classification,
23,Simple Machine Learning Model,
24,Interactive AI Game,
25,Final Graduation Project,
