Session No.,Content,Course
1,"what is compiler 
Syntax
IDE
hello world
variables
operators",Backend Nodejs and DEVOPS
2,"Binary
Conditions 
loops",
3,Continue Loops,
4,"Arrays
Break
Continue",
5,"Functions
Objects",
6,OOP:part1,
7,OOP:part2,
8,DB:part1,
9,DB:part2,
10,"Nodejs
async/await
DB ORM",
11,"API
Backend folder instractions 
Routers
controllers",
12,Build first end point ,
13,"Middleware
Authentication
Authrization",
14,"Validation
ENV",
15,Github,
16,Deployment ,
17,Web Security,
18,DEVOPS overview part1,
19,DEVOPS overview part1,
20,Graduation Project,
21,,
22,,
23,,
24,,
25,,
