Session No.,Content,Course
1,"What is Internet?
What is Website?
Browser vs Server
First HTML Page
VS Code
Live Server",HTML
2,"Headings
Paragraphs
Bold
Italic
Line Break
Comments",
3,"Images
Links
Lists
Emojis",
4,Tables,
5,"Forms
Inputs
Buttons
Labels",
6,"Semantic HTML
Header
Main
Footer
Section",
7,project,
8,"Introduction to CSS

Inline
Internal
External",CSS
9,"Colors

Background

Borders

Fonts",
10,"Margin

Padding

Width

Height",
11,Flexbox Basics,
12,"Buttons

Hover

Transitions",
13,"Cards

Shadows

Rounded Corners",
14,"Responsive Design

Media Queries",
15,Project,
16,"Introduction to JavaScript

Variables

alert()

console.log()",JS
17,"Buttons

Events

Functions",
18,"if Statement

Comparison",
19,"Loops

for

while",
20,Arrays,
21,"DOM

getElementById

querySelector",
22,"Random

Math",
23,Full Project,
24,Full Project,
25,Full Project,
