Session No.,Content,Course
1,What is Programming? - Scratch Interface - Stage - Sprites - Motion Blocks,Scratch
2,"Motion Blocks (Move, Turn, Go to, Glide)",
3,"Looks Blocks (Say, Think, Costumes, Size)",
4,"Events Blocks (Green Flag, Key Press, Mouse Click)",
5,Sound Blocks + Backdrops,
6,Coordinates (X & Y),
7,Variables (Create Score),
8,Operators (Math & Random),
9,If Condition,
10,If Else,
11,Repeat Loop,
12,Forever Loop,
13,Nested Loops,
14,Pen Extension,
15,Mini Project,
16,Broadcast Messages,
17,Clone Blocks,
18,Timer Block,
19,Lives System,
20,Level System,
21,Lists,
22,My Blocks (Functions),
23,Debugging & Code Optimization,
24,Final Project Planning,
25,Final Graduation Project,
