Session No.,Content,Course
1,mouse training sessions,Computre basics
2,keyboard training sessions,
3,keyboard training sessions,
4,Electronics basics,Electronics PC LAB
5,Electronics basics,
6,Electronics basics,
7,Electronics basics,
8,Electronics basics,
9,Electronics basics,
10,Electronics basics,Electronics LAB
11,Electronics basics,
12,Electronics basics,
13,Electronics basics,
14,Electronics basics,
15,Electronics basics,
16,Scratch basics,Scratch
17,Scratch basics,
18,Scratch basics,
19,Scratch basics,
20,Scratch basics,
21,Scratch basics,
22,Scratch basics,
23,Scratch basics,
24,Scratch basics,
25,Scratch basics,
