Session No.,Content,Course
1,electronic basics,electronics
2,electronic basics,
3,electronic basics,
4,electronic basics,
5,Digital signals,Arduino
6,Digital Sensors,
7,Analog Signals,
8,Analog Sensors,
9,Motor Driver ,
10,LCD,
11,Ultrasonic,
12,Servo ,
13,keypad,
14,"IDE
Install complier",C++
15,"syntax
console
variable
Data Types
input/output",
16,"operators
conditions",
17,loops,
18,functions,
19,Arrays,
20,"Strings
2D Arrays",
21,project,
22,project,
23,project,
24,project,
25,project,
